disc ddif ddnorm dratio delift dolift MInorm
-1 -0.2 -1 0.8 0.889 0 0.158
-0.9 -0.18 -0.898 0.819 0.9 0.044 0.113
-0.8 -0.159 -0.797 0.837 0.911 0.095 0.084
-0.7 -0.14 -0.701 0.856 0.922 0.151 0.063
-0.6 -0.121 -0.603 0.874 0.933 0.217 0.045
-0.5 -0.1 -0.498 0.895 0.945 0.3 0.03
-0.4 -0.081 -0.404 0.914 0.955 0.388 0.02
-0.3 -0.061 -0.303 0.935 0.966 0.501 0.011
-0.2 -0.04 -0.2 0.957 0.978 0.64 0.005
-0.1 -0.021 -0.105 0.977 0.988 0.793 0.001
0 0 0.001 1 1 1.004 0
0.1 0.02 0.101 1.023 1.011 1.256 0.001
0.2 0.04 0.2 1.045 1.022 1.57 0.005
0.3 0.061 0.305 1.07 1.034 2.014 0.011
0.4 0.079 0.393 1.091 1.044 2.512 0.019
0.5 0.1 0.5 1.118 1.056 3.368 0.031
0.6 0.12 0.6 1.143 1.067 4.59 0.045
0.7 0.14 0.702 1.169 1.078 6.707 0.063
0.8 0.159 0.794 1.194 1.088 9 0.084
0.9 0.18 0.901 1.222 1.1 9 0.114
1 0.2 1 1.25 1.111 9 0.158
