disc ddif ddnorm dratio delift dolift MInorm
-1 -0.333 -1 0 0 0 0.085
-0.9 -0.301 -0.903 0.088 0.097 0.061 0.06
-0.8 -0.265 -0.796 0.187 0.204 0.135 0.043
-0.7 -0.233 -0.698 0.28 0.302 0.209 0.032
-0.6 -0.199 -0.596 0.379 0.404 0.293 0.022
-0.5 -0.168 -0.503 0.47 0.497 0.378 0.015
-0.4 -0.134 -0.403 0.572 0.597 0.479 0.01
-0.3 -0.098 -0.294 0.684 0.706 0.6 0.005
-0.2 -0.065 -0.196 0.787 0.804 0.721 0.002
-0.1 -0.036 -0.107 0.883 0.893 0.841 0.001
0 0 -0.01 1.001 1.001 1.003 0
0.1 0.078 0.1 1.268 1.234 1.427 0.003
0.2 0.159 0.204 1.558 1.476 2.005 0.011
0.3 0.233 0.3 1.843 1.699 2.722 0.024
0.4 0.31 0.399 2.154 1.931 3.75 0.042
0.5 0.39 0.502 2.496 2.171 5.299 0.066
0.6 0.466 0.599 2.839 2.398 7.56 0.094
0.7 0.544 0.7 3.217 2.633 9 0.13
0.8 0.622 0.8 3.616 2.866 9 0.172
0.9 0.699 0.899 4.039 3.097 9 0.224
1 0.778 1 4.5 3.333 9 0.301
