disc ddif ddnorm dratio delift dolift MInorm
-1 -0.714 -1 0.286 0.571 0 0.422
-0.9 -0.643 -0.9 0.323 0.614 0.023 0.31
-0.8 -0.572 -0.801 0.365 0.657 0.054 0.235
-0.7 -0.5 -0.7 0.412 0.7 0.095 0.174
-0.6 -0.427 -0.598 0.466 0.744 0.149 0.124
-0.5 -0.358 -0.501 0.523 0.785 0.215 0.086
-0.4 -0.285 -0.399 0.593 0.829 0.304 0.054
-0.3 -0.215 -0.301 0.669 0.871 0.415 0.03
-0.2 -0.144 -0.201 0.761 0.914 0.56 0.013
-0.1 -0.07 -0.098 0.872 0.958 0.755 0.003
0 0 0 1 1 1.001 0
0.1 0.071 0.099 1.158 1.043 1.331 0.003
0.2 0.142 0.198 1.354 1.085 1.774 0.013
0.3 0.215 0.301 1.617 1.129 2.418 0.03
0.4 0.286 0.4 1.953 1.171 3.302 0.054
0.5 0.357 0.5 2.432 1.214 4.646 0.085
0.6 0.428 0.599 3.136 1.257 6.749 0.124
0.7 0.501 0.701 4.35 1.3 9 0.174
0.8 0.572 0.801 6.761 1.343 9 0.235
0.9 0.643 0.9 9 1.386 9 0.31
1 0.714 1 9 1.429 9 0.422
