disc ddif ddnorm dratio delift dolift MInorm
-1 -0.714 -1 0 0 0 0.422
-0.9 -0.642 -0.899 0.073 0.101 0.024 0.31
-0.8 -0.572 -0.8 0.149 0.2 0.054 0.235
-0.7 -0.501 -0.701 0.23 0.299 0.095 0.175
-0.6 -0.429 -0.601 0.317 0.399 0.147 0.125
-0.5 -0.356 -0.499 0.413 0.501 0.217 0.085
-0.4 -0.286 -0.4 0.513 0.6 0.304 0.054
-0.3 -0.213 -0.299 0.622 0.701 0.417 0.03
-0.2 -0.142 -0.199 0.738 0.801 0.563 0.013
-0.1 -0.071 -0.1 0.863 0.9 0.752 0.003
0 0 0 1 1 1.001 0
0.1 0.07 0.098 1.147 1.098 1.327 0.003
0.2 0.141 0.198 1.309 1.198 1.771 0.013
0.3 0.214 0.299 1.491 1.299 2.403 0.03
0.4 0.286 0.4 1.69 1.4 3.305 0.054
0.5 0.356 0.499 1.906 1.499 4.617 0.085
0.6 0.429 0.6 2.154 1.6 6.777 0.125
0.7 0.501 0.701 2.433 1.701 9 0.175
0.8 0.572 0.8 2.74 1.8 9 0.234
0.9 0.642 0.899 3.09 1.899 9 0.31
1 0.714 1 3.5 2 9 0.422
