disc ddif ddnorm dratio delift dolift MInorm
-1 -0.429 -1 0 0 0 0.217
-0.9 -0.385 -0.899 0.073 0.101 0.044 0.156
-0.8 -0.343 -0.801 0.148 0.199 0.094 0.116
-0.7 -0.301 -0.702 0.229 0.298 0.154 0.086
-0.6 -0.257 -0.599 0.319 0.401 0.226 0.06
-0.5 -0.214 -0.499 0.413 0.501 0.309 0.041
-0.4 -0.172 -0.4 0.512 0.6 0.405 0.026
-0.3 -0.128 -0.299 0.621 0.701 0.521 0.014
-0.2 -0.085 -0.199 0.738 0.801 0.656 0.006
-0.1 -0.044 -0.102 0.861 0.898 0.81 0.002
0 -0.001 -0.008 0.996 0.997 0.995 0
0.1 0.097 0.097 1.36 1.227 1.57 0.008
0.2 0.197 0.197 1.816 1.459 2.452 0.031
0.3 0.296 0.296 2.401 1.69 3.844 0.069
0.4 0.394 0.394 3.166 1.919 6.107 0.122
0.5 0.495 0.495 4.265 2.154 9 0.193
0.6 0.595 0.595 5.899 2.388 9 0.283
0.7 0.695 0.695 8.612 2.622 9 0.395
0.8 0.797 0.797 9 2.859 9 0.536
0.9 0.898 0.898 9 3.095 9 0.717
1 1 1 9 3.333 9 1
