disc ddif ddnorm dratio delift dolift MInorm
-1 -0.6 -1 0 0 0 0.422
-0.9 -0.54 -0.9 0.053 0.1 0.023 0.31
-0.8 -0.48 -0.8 0.111 0.2 0.054 0.235
-0.7 -0.42 -0.699 0.177 0.301 0.095 0.174
-0.6 -0.36 -0.6 0.25 0.4 0.148 0.125
-0.5 -0.299 -0.499 0.335 0.501 0.217 0.085
-0.4 -0.239 -0.398 0.431 0.602 0.306 0.053
-0.3 -0.178 -0.297 0.543 0.703 0.42 0.029
-0.2 -0.119 -0.199 0.668 0.801 0.564 0.013
-0.1 -0.061 -0.101 0.817 0.899 0.75 0.003
0 0 0 1.001 1 1.001 0
0.1 0.059 0.098 1.219 1.098 1.327 0.003
0.2 0.118 0.196 1.488 1.196 1.762 0.013
0.3 0.181 0.302 1.867 1.302 2.424 0.031
0.4 0.239 0.398 2.325 1.398 3.283 0.053
0.5 0.3 0.501 3.008 1.501 4.653 0.085
0.6 0.36 0.6 4.01 1.6 6.792 0.125
0.7 0.42 0.7 5.678 1.7 9 0.174
0.8 0.48 0.799 8.995 1.799 9 0.234
0.9 0.539 0.899 9 1.899 9 0.309
1 0.6 1 9 2 9 0.422
