disc ddif ddnorm dratio delift dolift MInorm
-1 -1 -1 0 0 0 1
-0.9 -0.898 -0.898 0.054 0.102 0.003 0.709
-0.8 -0.796 -0.796 0.114 0.204 0.013 0.525
-0.7 -0.696 -0.696 0.179 0.304 0.032 0.386
-0.6 -0.596 -0.596 0.253 0.404 0.064 0.274
-0.5 -0.494 -0.494 0.339 0.506 0.115 0.184
-0.4 -0.396 -0.396 0.433 0.604 0.187 0.116
-0.3 -0.297 -0.297 0.542 0.703 0.294 0.065
-0.2 -0.197 -0.197 0.671 0.803 0.45 0.028
-0.1 -0.097 -0.097 0.823 0.903 0.677 0.007
0 0.001 0.001 1.003 1.001 1.006 0
0.1 0.101 0.101 1.225 1.101 1.502 0.007
0.2 0.196 0.196 1.489 1.196 2.218 0.028
0.3 0.296 0.296 1.84 1.296 3.387 0.064
0.4 0.395 0.395 2.309 1.395 5.335 0.116
0.5 0.497 0.497 2.974 1.497 8.847 0.186
0.6 0.597 0.597 3.963 1.597 9 0.275
0.7 0.697 0.697 5.606 1.697 9 0.387
0.8 0.796 0.796 8.824 1.796 9 0.525
0.9 0.898 0.898 9 1.898 9 0.709
1 1 1 9 2 9 1
