disc ddif ddnorm dratio delift dolift MInorm
-1 -0.333 -1 0.667 0.741 0 0.301
-0.9 -0.3 -0.901 0.697 0.766 0.022 0.225
-0.8 -0.267 -0.801 0.728 0.792 0.051 0.173
-0.7 -0.234 -0.703 0.758 0.818 0.085 0.131
-0.6 -0.2 -0.601 0.791 0.844 0.132 0.095
-0.5 -0.166 -0.499 0.825 0.871 0.191 0.066
-0.4 -0.134 -0.401 0.858 0.896 0.266 0.043
-0.3 -0.1 -0.299 0.893 0.922 0.369 0.024
-0.2 -0.068 -0.203 0.927 0.947 0.503 0.011
-0.1 -0.034 -0.103 0.962 0.973 0.697 0.003
0 0 0.011 1 1 1.007 0
0.1 0.015 0.102 1.016 1.011 1.185 0.001
0.2 0.028 0.193 1.031 1.021 1.387 0.002
0.3 0.044 0.305 1.049 1.034 1.716 0.005
0.4 0.058 0.405 1.066 1.045 2.114 0.01
0.5 0.071 0.496 1.081 1.055 2.612 0.015
0.6 0.085 0.597 1.097 1.066 3.444 0.022
0.7 0.1 0.699 1.115 1.078 4.879 0.032
0.8 0.114 0.796 1.131 1.088 7.589 0.043
0.9 0.129 0.902 1.15 1.1 9 0.06
1 0.143 1 1.167 1.111 9 0.085
