disc ddif ddnorm dratio delift dolift MInorm
-1 -0.2 -1 0 0 0 0.158
-0.9 -0.18 -0.901 0.052 0.099 0.043 0.114
-0.8 -0.16 -0.799 0.112 0.201 0.094 0.085
-0.7 -0.139 -0.697 0.179 0.303 0.153 0.062
-0.6 -0.121 -0.603 0.248 0.397 0.217 0.045
-0.5 -0.101 -0.504 0.33 0.496 0.295 0.031
-0.4 -0.08 -0.4 0.429 0.6 0.393 0.019
-0.3 -0.061 -0.305 0.533 0.695 0.498 0.011
-0.2 -0.04 -0.198 0.671 0.802 0.642 0.005
-0.1 -0.021 -0.103 0.814 0.897 0.796 0.001
0 0 0 1.001 1 1.001 0
0.1 0.02 0.102 1.23 1.102 1.258 0.001
0.2 0.039 0.196 1.49 1.196 1.557 0.005
0.3 0.06 0.298 1.852 1.298 1.979 0.011
0.4 0.08 0.401 2.345 1.401 2.565 0.019
0.5 0.101 0.503 3.036 1.503 3.398 0.031
0.6 0.12 0.601 4.03 1.601 4.609 0.045
0.7 0.14 0.7 5.692 1.7 6.654 0.063
0.8 0.16 0.799 9 1.799 9 0.085
0.9 0.18 0.902 9 1.902 9 0.114
1 0.2 1 9 2 9 0.158
