disc ddif ddnorm dratio delift dolift MInorm
-1 -0.143 -1 0.857 0.952 0 0.085
-0.9 -0.129 -0.9 0.87 0.957 0.063 0.06
-0.8 -0.115 -0.803 0.883 0.962 0.129 0.044
-0.7 -0.1 -0.699 0.897 0.967 0.208 0.032
-0.6 -0.085 -0.597 0.911 0.972 0.293 0.022
-0.5 -0.072 -0.501 0.925 0.976 0.381 0.015
-0.4 -0.057 -0.401 0.939 0.981 0.481 0.009
-0.3 -0.043 -0.299 0.954 0.986 0.593 0.005
-0.2 -0.029 -0.203 0.969 0.99 0.712 0.002
-0.1 -0.016 -0.114 0.982 0.995 0.83 0.001
0 0 -0.01 1 1 1.005 0
0.1 0.032 0.096 1.036 1.011 1.404 0.003
0.2 0.068 0.204 1.08 1.023 2.008 0.012
0.3 0.1 0.301 1.121 1.033 2.738 0.024
0.4 0.133 0.4 1.165 1.044 3.763 0.043
0.5 0.167 0.501 1.213 1.056 5.29 0.066
0.6 0.201 0.602 1.264 1.067 7.659 0.095
0.7 0.233 0.7 1.317 1.078 9 0.13
0.8 0.266 0.799 1.374 1.089 9 0.172
0.9 0.301 0.902 1.436 1.1 9 0.226
1 0.333 1 1.5 1.111 9 0.301
