disc ddif ddnorm dratio delift dolift MInorm
-1 -0.778 -1 0 0 0 0.301
-0.9 -0.7 -0.9 0.091 0.1 0.023 0.225
-0.8 -0.622 -0.8 0.183 0.2 0.051 0.172
-0.7 -0.546 -0.702 0.276 0.298 0.086 0.131
-0.6 -0.465 -0.598 0.377 0.402 0.133 0.094
-0.5 -0.39 -0.502 0.472 0.498 0.189 0.066
-0.4 -0.312 -0.401 0.574 0.599 0.266 0.043
-0.3 -0.233 -0.3 0.677 0.7 0.368 0.024
-0.2 -0.157 -0.202 0.781 0.798 0.504 0.011
-0.1 -0.078 -0.101 0.889 0.899 0.703 0.003
0 0 0.011 1 1 1.003 0
0.1 0.033 0.099 1.047 1.042 1.178 0.001
0.2 0.069 0.206 1.099 1.088 1.421 0.002
0.3 0.101 0.302 1.146 1.129 1.702 0.005
0.4 0.134 0.401 1.195 1.172 2.092 0.009
0.5 0.168 0.503 1.246 1.216 2.663 0.015
0.6 0.201 0.604 1.296 1.259 3.518 0.023
0.7 0.233 0.7 1.345 1.3 4.864 0.032
0.8 0.266 0.799 1.396 1.342 7.642 0.044
0.9 0.3 0.9 1.448 1.386 9 0.06
1 0.333 1 1.5 1.429 9 0.085
