disc ddif ddnorm dratio delift dolift MInorm
-1 -1 -1 0 0 0 1
-0.9 -0.897 -0.897 0.074 0.103 0.002 0.715
-0.8 -0.797 -0.797 0.151 0.203 0.011 0.537
-0.7 -0.695 -0.695 0.235 0.305 0.027 0.395
-0.6 -0.596 -0.596 0.322 0.404 0.055 0.284
-0.5 -0.496 -0.496 0.416 0.504 0.097 0.194
-0.4 -0.395 -0.395 0.517 0.605 0.163 0.123
-0.3 -0.296 -0.296 0.625 0.704 0.261 0.069
-0.2 -0.195 -0.195 0.743 0.805 0.411 0.03
-0.1 -0.098 -0.098 0.866 0.902 0.636 0.008
0 0 0.005 1 1 1.001 0
0.1 0.042 0.098 1.061 1.042 1.228 0.002
0.2 0.084 0.196 1.124 1.084 1.517 0.006
0.3 0.13 0.304 1.198 1.13 1.949 0.015
0.4 0.17 0.397 1.262 1.17 2.456 0.025
0.5 0.215 0.501 1.338 1.215 3.261 0.041
0.6 0.258 0.601 1.414 1.258 4.469 0.061
0.7 0.3 0.7 1.492 1.3 6.495 0.085
0.8 0.343 0.799 1.574 1.343 9 0.116
0.9 0.386 0.9 1.66 1.386 9 0.156
1 0.429 1 1.75 1.429 9 0.217
