disc ddif ddnorm dratio delift dolift MInorm
-1 -0.333 -1 0 0 0 0.301
-0.9 -0.299 -0.898 0.033 0.102 0.023 0.224
-0.8 -0.266 -0.799 0.07 0.201 0.051 0.172
-0.7 -0.232 -0.697 0.116 0.303 0.088 0.129
-0.6 -0.201 -0.602 0.166 0.398 0.131 0.095
-0.5 -0.168 -0.503 0.229 0.497 0.189 0.067
-0.4 -0.133 -0.398 0.313 0.602 0.269 0.042
-0.3 -0.1 -0.299 0.414 0.701 0.37 0.024
-0.2 -0.067 -0.2 0.547 0.8 0.508 0.011
-0.1 -0.034 -0.103 0.726 0.897 0.699 0.003
0 -0.001 0.005 0.991 0.996 0.99 0
0.1 0.014 0.101 1.164 1.043 1.183 0.001
0.2 0.027 0.191 1.344 1.082 1.386 0.002
0.3 0.043 0.302 1.623 1.129 1.703 0.005
0.4 0.058 0.403 1.974 1.173 2.104 0.01
0.5 0.071 0.495 2.417 1.212 2.612 0.015
0.6 0.086 0.603 3.198 1.258 3.515 0.023
0.7 0.1 0.701 4.386 1.3 4.893 0.032
0.8 0.115 0.803 6.924 1.344 7.846 0.044
0.9 0.129 0.9 9 1.386 9 0.06
1 0.143 1 9 1.429 9 0.085
