disc ddif ddnorm dratio delift dolift MInorm
-1 -0.143 -1 0 0 0 0.085
-0.9 -0.128 -0.899 0.073 0.101 0.063 0.06
-0.8 -0.115 -0.802 0.148 0.198 0.131 0.044
-0.7 -0.1 -0.7 0.231 0.3 0.208 0.032
-0.6 -0.085 -0.596 0.322 0.404 0.294 0.022
-0.5 -0.071 -0.499 0.413 0.501 0.383 0.015
-0.4 -0.057 -0.398 0.515 0.602 0.484 0.009
-0.3 -0.044 -0.307 0.613 0.693 0.585 0.005
-0.2 -0.028 -0.198 0.74 0.802 0.718 0.002
-0.1 -0.014 -0.098 0.867 0.902 0.854 0.001
0 0 -0.009 1.003 1.001 1.004 0
0.1 0.035 0.104 1.391 1.244 1.447 0.003
0.2 0.066 0.198 1.826 1.462 1.968 0.011
0.3 0.1 0.301 2.438 1.702 2.734 0.024
0.4 0.134 0.403 3.257 1.94 3.803 0.043
0.5 0.166 0.498 4.314 2.161 5.23 0.065
0.6 0.201 0.602 6.07 2.406 7.679 0.096
0.7 0.234 0.702 8.896 2.638 9 0.131
0.8 0.266 0.798 9 2.863 9 0.171
0.9 0.299 0.898 9 3.096 9 0.224
1 0.333 1 9 3.333 9 0.301
