disc ddif ddnorm dratio delift dolift MInorm
-1 -1 -1 0 0 0 1
-0.9 -0.896 -0.896 0.011 0.104 0.001 0.745
-0.8 -0.796 -0.796 0.025 0.204 0.005 0.578
-0.7 -0.693 -0.693 0.042 0.307 0.012 0.439
-0.6 -0.593 -0.593 0.064 0.407 0.025 0.327
-0.5 -0.495 -0.495 0.093 0.505 0.044 0.235
-0.4 -0.394 -0.394 0.133 0.606 0.078 0.155
-0.3 -0.294 -0.294 0.194 0.706 0.133 0.092
-0.2 -0.193 -0.193 0.295 0.807 0.233 0.043
-0.1 -0.096 -0.096 0.487 0.904 0.436 0.012
0 0.001 0.035 1.014 1.001 1.016 0
0.1 0.013 0.12 1.159 1.013 1.177 0
0.2 0.021 0.193 1.279 1.021 1.311 0.001
0.3 0.036 0.321 1.545 1.036 1.608 0.002
0.4 0.044 0.397 1.76 1.044 1.849 0.004
0.5 0.055 0.493 2.114 1.055 2.246 0.006
0.6 0.065 0.589 2.656 1.065 2.854 0.008
0.7 0.079 0.707 3.836 1.079 4.179 0.013
0.8 0.088 0.795 5.482 1.088 6.03 0.017
0.9 0.1 0.897 9 1.1 9 0.023
1 0.111 1 9 1.111 9 0.034
