disc ddif ddnorm dratio delift dolift MInorm
-1 -0.429 -1 0.571 0.816 0 0.217
-0.9 -0.386 -0.901 0.602 0.835 0.043 0.156
-0.8 -0.342 -0.798 0.636 0.853 0.096 0.115
-0.7 -0.301 -0.701 0.67 0.871 0.154 0.086
-0.6 -0.258 -0.601 0.707 0.89 0.225 0.061
-0.5 -0.215 -0.501 0.747 0.908 0.307 0.041
-0.4 -0.17 -0.397 0.792 0.927 0.408 0.025
-0.3 -0.129 -0.3 0.837 0.945 0.519 0.014
-0.2 -0.084 -0.196 0.889 0.964 0.66 0.006
-0.1 -0.042 -0.099 0.942 0.982 0.815 0.002
0 -0.001 -0.008 0.998 0.999 0.994 0
0.1 0.097 0.097 1.154 1.042 1.568 0.008
0.2 0.195 0.195 1.347 1.084 2.437 0.03
0.3 0.297 0.297 1.603 1.127 3.859 0.069
0.4 0.396 0.396 1.938 1.17 6.181 0.123
0.5 0.495 0.495 2.4 1.212 9 0.193
0.6 0.595 0.595 3.1 1.255 9 0.283
0.7 0.697 0.697 4.281 1.299 9 0.397
0.8 0.796 0.796 6.582 1.341 9 0.535
0.9 0.896 0.896 9 1.384 9 0.714
1 1 1 9 1.429 9 1
