disc ddif ddnorm dratio delift dolift MInorm
-1 -0.111 -1 0 0 0 0.034
-0.9 -0.1 -0.901 0.09 0.099 0.081 0.024
-0.8 -0.088 -0.796 0.187 0.204 0.171 0.017
-0.7 -0.078 -0.699 0.279 0.301 0.257 0.012
-0.6 -0.066 -0.597 0.379 0.403 0.353 0.008
-0.5 -0.056 -0.5 0.474 0.5 0.446 0.006
-0.4 -0.043 -0.385 0.591 0.615 0.564 0.003
-0.3 -0.033 -0.299 0.679 0.701 0.655 0.002
-0.2 -0.022 -0.195 0.789 0.805 0.771 0.001
-0.1 -0.012 -0.111 0.884 0.893 0.873 0
0 0.001 -0.026 1.009 1.007 1.011 0
0.1 0.097 0.097 2.075 1.872 2.325 0.012
0.2 0.192 0.192 3.383 2.73 4.283 0.043
0.3 0.295 0.295 5.179 3.651 7.588 0.092
0.4 0.392 0.392 7.442 4.525 9 0.154
0.5 0.494 0.494 9 5.445 9 0.233
0.6 0.591 0.591 9 6.32 9 0.325
0.7 0.694 0.694 9 7.243 9 0.44
0.8 0.795 0.795 9 8.158 9 0.577
0.9 0.896 0.896 9 9 9 0.744
1 1 1 9 9 9 1
