disc ddif ddnorm dratio delift dolift MInorm
-1 -0.556 -1 0.444 0.889 0 0.158
-0.9 -0.5 -0.901 0.474 0.9 0.043 0.114
-0.8 -0.444 -0.8 0.506 0.911 0.093 0.085
-0.7 -0.389 -0.7 0.543 0.922 0.151 0.063
-0.6 -0.333 -0.6 0.583 0.933 0.219 0.045
-0.5 -0.279 -0.502 0.629 0.944 0.297 0.031
-0.4 -0.22 -0.397 0.685 0.956 0.396 0.019
-0.3 -0.166 -0.299 0.744 0.967 0.505 0.011
-0.2 -0.113 -0.203 0.813 0.977 0.634 0.005
-0.1 -0.055 -0.099 0.9 0.989 0.803 0.001
0 0 -0.001 1 1 1 0
0.1 0.057 0.102 1.127 1.011 1.258 0.001
0.2 0.11 0.198 1.276 1.022 1.565 0.005
0.3 0.168 0.303 1.486 1.034 2.006 0.011
0.4 0.222 0.399 1.74 1.044 2.548 0.019
0.5 0.277 0.498 2.106 1.055 3.342 0.03
0.6 0.334 0.602 2.686 1.067 4.615 0.045
0.7 0.388 0.698 3.581 1.078 6.598 0.062
0.8 0.445 0.801 5.496 1.089 9 0.085
0.9 0.501 0.902 9 1.1 9 0.114
1 0.556 1 9 1.111 9 0.158
