disc ddif ddnorm dratio delift dolift MInorm
-1 -0.778 -1 0.222 0.741 0 0.301
-0.9 -0.699 -0.899 0.248 0.767 0.023 0.224
-0.8 -0.623 -0.802 0.276 0.792 0.05 0.173
-0.7 -0.546 -0.702 0.31 0.818 0.086 0.13
-0.6 -0.467 -0.6 0.352 0.844 0.132 0.095
-0.5 -0.388 -0.499 0.402 0.871 0.191 0.066
-0.4 -0.312 -0.402 0.463 0.896 0.265 0.043
-0.3 -0.234 -0.301 0.542 0.922 0.367 0.024
-0.2 -0.155 -0.199 0.648 0.948 0.508 0.011
-0.1 -0.079 -0.101 0.788 0.974 0.701 0.003
0 0 0.01 1.002 1 1.002 0
0.1 0.032 0.095 1.119 1.011 1.171 0.001
0.2 0.067 0.202 1.286 1.022 1.412 0.002
0.3 0.099 0.298 1.478 1.033 1.693 0.005
0.4 0.133 0.399 1.744 1.044 2.084 0.009
0.5 0.166 0.497 2.109 1.055 2.623 0.015
0.6 0.201 0.604 2.712 1.067 3.519 0.023
0.7 0.233 0.7 3.617 1.078 4.868 0.032
0.8 0.267 0.8 5.51 1.089 7.699 0.044
0.9 0.3 0.9 9 1.1 9 0.06
1 0.333 1 9 1.111 9 0.085
