disc ddif ddnorm dratio delift dolift MInorm
-1 -1 -1 0 0 0 1
-0.9 -0.898 -0.898 0.033 0.102 0.002 0.717
-0.8 -0.797 -0.797 0.071 0.203 0.011 0.536
-0.7 -0.696 -0.696 0.116 0.304 0.027 0.397
-0.6 -0.596 -0.596 0.169 0.404 0.054 0.285
-0.5 -0.495 -0.495 0.234 0.505 0.097 0.194
-0.4 -0.396 -0.396 0.314 0.604 0.162 0.123
-0.3 -0.297 -0.297 0.415 0.703 0.259 0.07
-0.2 -0.195 -0.195 0.554 0.805 0.412 0.03
-0.1 -0.096 -0.096 0.738 0.904 0.641 0.008
0 0.001 0.007 1.005 1.001 1.007 0
0.1 0.042 0.098 1.157 1.042 1.229 0.002
0.2 0.085 0.198 1.355 1.085 1.527 0.006
0.3 0.129 0.301 1.617 1.129 1.933 0.014
0.4 0.171 0.399 1.952 1.171 2.468 0.026
0.5 0.212 0.495 2.403 1.212 3.205 0.04
0.6 0.256 0.597 3.12 1.256 4.402 0.06
0.7 0.301 0.702 4.369 1.301 6.527 0.086
0.8 0.343 0.799 6.708 1.343 9 0.116
0.9 0.386 0.9 9 1.386 9 0.156
1 0.429 1 9 1.429 9 0.217
