disc ddif ddnorm dratio delift dolift MInorm
-1 -0.333 -1 0.667 0.952 0 0.085
-0.9 -0.3 -0.901 0.691 0.957 0.062 0.06
-0.8 -0.266 -0.799 0.717 0.962 0.133 0.044
-0.7 -0.233 -0.698 0.744 0.967 0.209 0.032
-0.6 -0.2 -0.601 0.773 0.971 0.289 0.023
-0.5 -0.166 -0.498 0.805 0.976 0.383 0.015
-0.4 -0.133 -0.4 0.837 0.981 0.481 0.009
-0.3 -0.099 -0.297 0.875 0.986 0.596 0.005
-0.2 -0.065 -0.196 0.914 0.991 0.721 0.002
-0.1 -0.032 -0.096 0.957 0.995 0.857 0.001
0 0 -0.013 1 1 1 0
0.1 0.078 0.101 1.125 1.011 1.429 0.003
0.2 0.155 0.199 1.277 1.022 1.974 0.011
0.3 0.232 0.298 1.473 1.033 2.71 0.024
0.4 0.31 0.399 1.738 1.044 3.744 0.042
0.5 0.389 0.501 2.115 1.056 5.273 0.066
0.6 0.467 0.601 2.673 1.067 7.608 0.095
0.7 0.545 0.701 3.606 1.078 9 0.13
0.8 0.624 0.802 5.504 1.089 9 0.173
0.9 0.699 0.898 9 1.1 9 0.224
1 0.778 1 9 1.111 9 0.301
