disc ddif ddnorm dratio delift dolift MInorm
-1 -1 -1 0 0 0 1
-0.9 -0.895 -0.895 0.095 0.105 0.001 0.743
-0.8 -0.795 -0.795 0.189 0.205 0.005 0.576
-0.7 -0.694 -0.694 0.284 0.305 0.012 0.441
-0.6 -0.595 -0.595 0.38 0.405 0.024 0.329
-0.5 -0.492 -0.492 0.481 0.508 0.045 0.232
-0.4 -0.393 -0.393 0.581 0.607 0.078 0.155
-0.3 -0.297 -0.297 0.681 0.703 0.131 0.093
-0.2 -0.197 -0.197 0.786 0.803 0.229 0.045
-0.1 -0.095 -0.095 0.895 0.905 0.437 0.012
0 0.001 0.04 1.001 1.001 1.022 0
0.1 0.013 0.121 1.015 1.013 1.178 0
0.2 0.023 0.204 1.025 1.023 1.336 0.001
0.3 0.035 0.313 1.039 1.035 1.587 0.002
0.4 0.044 0.397 1.049 1.044 1.846 0.004
0.5 0.055 0.495 1.062 1.055 2.261 0.006
0.6 0.067 0.601 1.075 1.067 2.946 0.009
0.7 0.078 0.699 1.087 1.078 4.036 0.012
0.8 0.089 0.801 1.1 1.089 6.276 0.017
0.9 0.1 0.9 1.112 1.1 9 0.024
1 0.111 1 1.125 1.111 9 0.034
