disc ddif ddnorm dratio delift dolift MInorm
-1 -0.111 -1 0.889 0.988 0 0.034
-0.9 -0.1 -0.899 0.899 0.989 0.083 0.024
-0.8 -0.089 -0.799 0.909 0.99 0.169 0.017
-0.7 -0.077 -0.696 0.92 0.991 0.26 0.012
-0.6 -0.067 -0.605 0.93 0.993 0.345 0.009
-0.5 -0.056 -0.507 0.941 0.994 0.44 0.006
-0.4 -0.046 -0.411 0.952 0.995 0.537 0.004
-0.3 -0.032 -0.287 0.966 0.996 0.668 0.002
-0.2 -0.022 -0.194 0.977 0.998 0.772 0.001
-0.1 -0.012 -0.111 0.987 0.999 0.87 0
0 0.001 -0.027 1.001 1 1.014 0
0.1 0.095 0.095 1.117 1.011 2.299 0.012
0.2 0.195 0.195 1.269 1.022 4.343 0.044
0.3 0.293 0.293 1.462 1.033 7.545 0.092
0.4 0.394 0.394 1.724 1.044 9 0.156
0.5 0.493 0.493 2.083 1.055 9 0.233
0.6 0.593 0.593 2.618 1.066 9 0.327
0.7 0.694 0.694 3.53 1.077 9 0.441
0.8 0.794 0.794 5.288 1.088 9 0.575
0.9 0.894 0.894 9 1.099 9 0.741
1 1 1 9 1.111 9 1
