disc ddif ddnorm dratio delift dolift MInorm
-1 -0.6 -1 0.4 0.571 0 0.422
-0.9 -0.54 -0.899 0.444 0.615 0.024 0.31
-0.8 -0.48 -0.801 0.489 0.657 0.054 0.235
-0.7 -0.42 -0.7 0.539 0.7 0.095 0.174
-0.6 -0.361 -0.601 0.59 0.742 0.147 0.125
-0.5 -0.3 -0.499 0.647 0.786 0.216 0.085
-0.4 -0.24 -0.4 0.708 0.829 0.304 0.054
-0.3 -0.18 -0.3 0.772 0.872 0.416 0.03
-0.2 -0.121 -0.201 0.841 0.914 0.56 0.013
-0.1 -0.059 -0.099 0.919 0.958 0.754 0.003
0 0 0 1 1 1 0
0.1 0.06 0.099 1.089 1.043 1.33 0.003
0.2 0.121 0.201 1.189 1.086 1.79 0.013
0.3 0.18 0.3 1.295 1.129 2.407 0.03
0.4 0.241 0.402 1.417 1.172 3.329 0.055
0.5 0.301 0.502 1.549 1.215 4.68 0.086
0.6 0.36 0.601 1.693 1.257 6.795 0.125
0.7 0.42 0.701 1.859 1.3 9 0.174
0.8 0.48 0.8 2.044 1.343 9 0.234
0.9 0.54 0.901 2.258 1.386 9 0.311
1 0.6 1 2.5 1.429 9 0.422
